cena,odpad,termin_h,czas_produkcji_h,ksztalt,material,x,y,z,lateness_h_sim
432.38332766541885,0.07586888204711141,69.391,46.661,trojkat,wiskoza,35.0,30.0,0.3,103990.781
51.481952988748176,0.1413674253624776,12.273,7.617,trojkat,mikrofibra,35.0,30.0,0.3,114921.686
232.06632487064724,0.12253948999662166,47.656,19.556,trapez,mikrofibra,40.0,25.0,0.3,20258.103
335.4291115794715,0.09529800223714452,40.726,1.838,kwadrat,bawelna,30.0,30.0,0.3,90695.81
74.99463051765676,0.2656167420401571,34.946,22.559,trapez,bawelna,40.0,25.0,0.3,103145.41
149.65337319201927,0.2535935343990314,59.669,15.796,kwadrat,poliester,30.0,30.0,0.3,72957.578
257.45443197782953,0.05317058224208771,26.789,2.925,trojkat,wiskoza,35.0,30.0,0.3,117936.463
378.0198552731167,0.0858206826895519,91.922,35.354,trapez,bawelna,40.0,25.0,0.3,107448.276
355.94366637633203,0.2195632064914428,73.126,5.062,trojkat,wiskoza,35.0,30.0,0.3,68144.355
127.01374238572888,0.16073767854468374,29.906,3.041,trojkat,wiskoza,35.0,30.0,0.3,72994.184
315.16523280620356,0.2595736712122807,101.633,34.242,trojkat,poliester,35.0,30.0,0.3,95479.499
233.84692961404912,0.0287381651752875,61.883,12.804,trojkat,mikrofibra,35.0,30.0,0.3,42653.696
327.3137720766956,0.2399577303444255,32.345,26.437,kwadrat,mikrofibra,30.0,30.0,0.3,97430.507
485.4480241138179,0.24613618137710658,68.887,2.047,trojkat,wiskoza,35.0,30.0,0.3,93931.814
166.01876468906804,0.2193616747636485,21.615,18.549,kwadrat,mikrofibra,30.0,30.0,0.3,49485.625
259.9728196667819,0.27447451232532266,68.156,4.02,kwadrat,poliester,30.0,30.0,0.3,55765.273
161.1598416565485,0.11497090332274157,82.202,15.213,trojkat,wiskoza,35.0,30.0,0.3,2530.058
334.4328997551661,0.22818739872644114,62.342,40.796,trojkat,poliester,35.0,30.0,0.3,120934.854
224.56874194469242,0.03865534995336466,5.782,2.02,kwadrat,bawelna,30.0,30.0,0.3,84367.228
55.184455411719526,0.24528315927517305,41.846,17.012,kwadrat,bawelna,30.0,30.0,0.3,104368.036
130.73325840594757,0.0006820858815378194,72.824,9.077,trojkat,poliester,35.0,30.0,0.3,113316.292
